id,external_id,cohort_id,cohort_external_id,platform,name,original_url,url,url_id,timezone,slot_interval,latitude,longitude,archived_at,city
3634,8358,4,4,opentable,Brookvin,https://www.opentable.com/restref/client/?restref=1077256,https://www.opentable.com/restref/client/?rid=1077256,1077256,America/New_York,15,,,,new_york_city
3633,8359,4,4,opentable,Jubilee,https://www.opentable.com/restaurant/profile/90406/reserve,https://www.opentable.com/restref/client/?rid=90406,90406,America/New_York,15,,,,new_york_city
3914,8360,4,4,resy,Mission Chinese Bushwick,https://resy.com/cities/ny/mission-chinese-food-bushwick,https://resy.com/cities/ny/mission-chinese-food-bushwick,4598,America/New_York,15,,,,new_york_city
3345,8361,5,5,opentable,The Blue Mezze Bar,https://www.opentable.com/r/the-blue-mezze-bar-reservations-new-york?restref=1201135,https://www.opentable.com/restref/client/?rid=1201135,1201135,America/New_York,15,,,,new_york_city
3958,8362,4,4,resy,Aburiya Kinnosuke,https://resy.com/cities/ny/aburiya-kinnosuke,https://resy.com/cities/ny/aburiya-kinnosuke,4094,America/New_York,15,,,,new_york_city
3931,8363,4,4,resy,Sweetwater,https://resy.com/cities/ny/sweetwater-restaurant,https://resy.com/cities/ny/sweetwater-restaurant,8767,America/New_York,15,,,,new_york_city
3495,8366,4,4,opentable,Fiat Café,https://www.opentable.com/restref/client/?restref=58528,https://www.opentable.com/restref/client/?rid=58528,58528,America/New_York,15,,,,new_york_city
3500,8368,4,4,opentable,Dos Caminos - Times Square,https://www.opentable.com/restref/client/?restref=186067,https://www.opentable.com/restref/client/?rid=186067,186067,America/New_York,15,,,,new_york_city
3341,8372,5,5,opentable,Fabiane’s,https://www.opentable.com/restaurant/profile/1047679/reserve,https://www.opentable.com/restref/client/?rid=1047679,1047679,America/New_York,15,,,,new_york_city
3358,8523,5,5,opentable,Dolly Varden,https://www.opentable.com/restaurant/profile/1057042/reserve,https://www.opentable.com/restref/client/?rid=1057042,1057042,America/New_York,15,,,,new_york_city
