external_id,name,cohort_external_id,full_address,timezone,platform,new_url,city
8876,Wolfgang’s Steakhouse - Broadway,4,"1359 Broadway, New York, NY 10018, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/1042963/reserve,new_york_city
8878,L’Amico,4,"849 6th Ave, New York, NY 10001, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/186856/reserve,new_york_city
8879,Tavolino,4,"496 9th Ave, New York, NY 10018, USA",America/New_York,yelp,https://www.yelp.com/reservations/tavolino-new-york,new_york_city
8890,Overeasy,5,"1914 Commerce St, Dallas, TX 75201, USA",America/Chicago,resy,https://resy.com/cities/dfw/overeasy,dallas
8891,Bourbon and Banter,5,"1914 Commerce St, Dallas, TX 75201, USA",America/Chicago,resy,https://resy.com/cities/dfw/bourbon-and-banter,dallas
8894,Upstairs At the Kimberly,4,"145 E 50th St, New York, NY 10022, USA",America/New_York,sevenrooms,https://www.sevenrooms.com/reservations/thekimberlyhotel,new_york_city
8895,Dear Irving on Hudson,4,"310 W 40th St, New York, NY 10018, USA",America/New_York,resy,https://resy.com/cities/ny/dear-irving-on-hudson,new_york_city
8897,The Bar Room,4,"117 E 60th St, New York, NY 10022, USA",America/New_York,resy,https://resy.com/cities/ny/the-bar-room,new_york_city
8898,Scout,5,"1914 Commerce St, Dallas, TX 75201, USA",America/Chicago,resy,https://resy.com/cities/dfw/scout,dallas
8899,NR NYC,4,"339 E 75th St, New York, NY 10021, USA",America/New_York,resy,https://resy.com/cities/ny/nr,new_york_city
8900,Sushi Damo,4,"330 W 58th St, New York, NY 10019, USA",America/New_York,opentable,https://www.opentable.com/restref/client/?restref=34939,new_york_city
8901,UOGASHI,4,"318 W 51st St, New York, NY 10019, USA",America/New_York,yelp,https://www.yelp.com/reservations/uogashi-new-york-3,new_york_city
8902,Mcgees Pub,4,"240 W 55th St, New York, NY 10019, USA",America/New_York,yelp,https://www.yelp.com/reservations/mcgees-pub-new-york-2,new_york_city
8903,Sfereco,5,"1914 Commerce St, Dallas, TX 75201, USA",America/Chicago,resy,https://resy.com/cities/dfw/sfereco,dallas
8904,Primo’s MX Kitchen - Downtown,5,"1914 Commerce St, Dallas, TX 75201, USA",America/Chicago,resy,https://resy.com/cities/dfw/primos-statler,dallas
8911,Dibs on Victory,5,"2401 Victory Park Ln Suite 190, Dallas, TX 75219, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1029235/reserve,dallas
8950,Adelmo’s Ristorante,4,"5450 W Lovers Ln #225, Dallas, TX 75209, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/240268/reserve,new_york_city
8951,18th & Vine Barbeque,4,"4100 Maple Ave, Dallas, TX 75219, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/187171/reserve,dallas
8952,Alamo Club,4,"1919 Greenville Ave, Dallas, TX 75206, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1054885/reserve,new_york_city
8953,Avanti Restaurant,4,"2720 McKinney Ave, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/50413/reserve,dallas
8954,Bazille,4,"8687 N Central Expy, Dallas, TX 75225, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/13069/reserve,new_york_city
8955,Bob’s Steak & Chop House - South Lamar St,4,"555 S Lamar St, Dallas, TX 75202, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/72721/reserve,dallas
